trip_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance_km,fare_amount,payment_type,driver_id
1,2026-04-08 18:18:00,2026-04-08 18:27:50,-73.98108,40.79701,-74.003967,40.701877,3,1.33,44.89,app,165
2,2026-04-15 10:28:00,2026-04-15 11:00:17,-73.99361,40.720325,-73.973769,40.769767,2,4.42,88.13,tarjeta,166
3,2026-04-12 08:39:00,2026-04-12 09:18:58,-74.015178,40.700538,-73.962023,40.746879,3,7.34,120.57,efectivo,103
4,2026-04-06 15:54:00,2026-04-06 16:28:17,-73.978676,40.782319,-74.005261,40.707006,4,7.8,145.35,tarjeta,167
5,2026-04-11 17:06:00,2026-04-11 18:53:22,-74.000517,40.711241,-73.798238,40.658648,1,24.59,428.46,efectivo,132
6,2026-04-06 06:46:00,2026-04-06 07:30:32,-73.998626,40.707106,-73.975198,40.787063,3,6.28,122.27,app,160
7,2026-04-11 19:35:00,2026-04-11 21:04:11,-73.807775,40.665305,-73.99205,40.699992,1,17.84,331.32,app,107
8,2026-04-20 15:00:00,2026-04-20 16:04:25,-73.806612,40.647262,-74.013023,40.709772,2,19.46,322.31,app,131
9,2026-04-16 10:52:00,2026-04-16 11:15:49,-73.953593,40.802261,-73.996769,40.674756,4,3.67,78.6,tarjeta,164
10,2026-04-12 08:21:00,2026-04-12 09:06:47,-73.935761,40.725796,-73.999356,40.622537,2,8.3,167.87,tarjeta,177
11,2026-04-15 08:13:00,2026-04-15 08:33:05,-73.93451,40.741236,-73.998851,40.705817,4,3.07,78.5,app,155
12,2026-04-06 12:32:00,2026-04-06 14:06:51,-73.755327,40.650482,-73.961233,40.68518,3,17.89,314.31,efectivo,168
13,2026-04-01 17:28:00,2026-04-01 18:10:27,-74.012016,40.69686,-73.953648,40.72929,4,9.28,164.32,efectivo,141
14,2026-04-30 17:11:00,2026-04-30 17:51:00,-73.991313,40.708938,-73.997783,40.719846,3,7.24,116.38,app,178
15,2026-04-12 19:44:00,2026-04-12 20:48:06,-73.991499,40.723126,-73.809474,40.631301,1,10.83,233.06,tarjeta,136
16,2026-04-03 07:59:00,2026-04-03 08:13:50,-73.99386,40.724384,-73.952243,40.730666,1,2.72,64.67,tarjeta,108
17,2026-04-06 07:05:00,2026-04-06 08:36:36,-73.767899,40.649337,-73.809826,40.646882,2,16.03,288.35,tarjeta,147
18,2026-04-02 15:26:00,2026-04-02 15:48:09,-74.003186,40.633398,-73.958931,40.77267,3,4.16,87.12,app,164
19,2026-04-15 16:25:00,2026-04-15 16:51:25,-73.990798,40.721635,-73.940188,40.725679,3,5.56,112.16,app,133
20,2026-04-04 06:57:00,2026-04-04 08:20:44,-73.802042,40.646468,-73.790563,40.632559,3,15.89,274.14,efectivo,131
21,2026-04-07 20:17:00,2026-04-07 20:40:21,-73.981499,40.687916,-73.964115,40.744285,3,4.46,93.68,efectivo,157
22,2026-04-17 09:40:00,2026-04-17 10:14:21,-73.998907,40.701327,-74.005019,40.707971,3,5.14,121.69,app,156
23,2026-04-23 17:10:00,2026-04-23 18:46:33,-73.808053,40.64288,-73.9998,40.700486,3,17.45,300.58,efectivo,167
24,2026-04-14 13:37:00,2026-04-14 14:31:55,-73.780311,40.659401,-74.000556,40.704751,3,9.57,136.42,tarjeta,134
25,2026-04-15 16:33:00,2026-04-15 17:49:18,-73.758863,40.641789,-73.994774,40.712988,1,13.74,272.08,tarjeta,147
26,2026-04-26 16:57:00,2026-04-26 18:54:27,-73.786257,40.653865,-74.014848,40.700189,3,23.41,352.94,tarjeta,170
27,2026-04-26 09:56:00,2026-04-26 10:16:34,-73.937886,40.750291,-73.974675,40.776209,4,3.04,60.69,app,168
28,2026-04-06 15:29:00,2026-04-06 16:53:32,-73.994859,40.716215,-73.79305,40.65509,1,25.56,325.14,app,165
29,2026-04-03 09:16:00,2026-04-03 10:55:11,-73.956081,40.751783,-73.766497,40.647684,4,17.92,299.28,tarjeta,173
30,2026-04-22 07:47:00,2026-04-22 08:18:20,-74.011758,40.699344,-73.976042,40.803793,4,5.33,106.97,tarjeta,113
31,2026-04-26 16:57:00,2026-04-26 17:16:04,-74.013672,40.710437,-73.97959,40.804871,3,2.18,66.41,tarjeta,121
32,2026-04-26 19:34:00,2026-04-26 19:48:54,-73.995386,40.697273,-73.937211,40.745867,3,3.32,64.31,efectivo,103
33,2026-04-01 11:19:00,2026-04-01 12:00:02,-74.014864,40.707531,-74.019587,40.703666,3,7.36,138.13,tarjeta,170
34,2026-04-04 17:49:00,2026-04-04 18:06:59,-74.00107,40.722199,-73.973607,40.807995,4,4.25,80.58,tarjeta,150
35,2026-04-26 11:02:00,2026-04-26 12:13:52,-73.753412,40.647709,-73.963433,40.660128,2,15.44,217.71,tarjeta,121
36,2026-04-27 09:43:00,2026-04-27 10:34:53,-74.012842,40.697338,-73.997629,40.701614,3,9.27,170.91,tarjeta,177
37,2026-04-14 17:07:00,2026-04-14 17:36:21,-73.976478,40.803944,-74.001337,40.696573,3,5.0,88.84,app,131
38,2026-04-09 11:19:00,2026-04-09 13:19:57,-73.803403,40.648338,-73.796238,40.637775,4,23.06,369.34,efectivo,115
39,2026-04-28 15:26:00,2026-04-28 16:50:30,-73.764336,40.654499,-74.013442,40.701664,4,20.47,304.34,efectivo,141
40,2026-04-29 08:34:00,2026-04-29 09:32:18,-74.003967,40.702898,-73.776492,40.667845,3,15.88,223.45,tarjeta,164
41,2026-04-12 20:30:00,2026-04-12 22:14:27,-74.000349,40.719181,-73.79479,40.645578,3,19.52,354.81,app,142
42,2026-04-11 15:47:00,2026-04-11 17:35:36,-74.00823,40.703161,-73.767378,40.640283,1,22.7,418.98,tarjeta,113
43,2026-04-25 19:12:00,2026-04-25 20:22:03,-73.974233,40.792301,-73.75357,40.660961,1,21.99,375.32,app,125
44,2026-04-27 17:58:00,2026-04-27 18:28:20,-73.99978,40.69223,-74.008161,40.703941,4,4.68,104.96,app,124
45,2026-04-12 08:29:00,2026-04-12 09:56:43,-73.768427,40.664054,-73.977588,40.771296,2,21.5,341.87,app,129
46,2026-04-27 12:50:00,2026-04-27 13:23:05,-73.993779,40.701291,-74.01842,40.628186,2,5.07,133.13,efectivo,169
47,2026-04-26 16:27:00,2026-04-26 17:11:04,-73.960775,40.736879,-73.985944,40.760485,3,6.64,132.04,tarjeta,175
48,2026-04-29 01:49:00,2026-04-29 03:05:36,-73.981363,40.789481,-73.760991,40.63919,2,19.82,333.72,efectivo,125
49,2026-04-01 19:23:00,2026-04-01 19:49:52,-73.989131,40.794173,-73.976598,40.664276,3,6.96,139.68,efectivo,160
50,2026-04-06 19:21:00,2026-04-06 19:42:34,-73.987543,40.658805,-73.963872,40.735446,1,2.44,70.85,efectivo,154
51,2026-04-20 09:52:00,2026-04-20 11:16:00,-74.013437,40.7044,-73.763576,40.637597,2,14.33,268.12,app,132
52,2026-04-26 10:48:00,2026-04-26 11:34:57,-73.965164,40.755377,-73.994212,40.702386,2,8.73,154.4,efectivo,162
53,2026-04-28 08:00:00,2026-04-28 08:23:17,-74.010983,40.701767,-73.986784,40.673796,1,6.17,91.38,efectivo,145
54,2026-04-29 12:35:00,2026-04-29 12:58:40,-73.953809,40.734947,-73.955999,40.753572,2,4.73,97.17,efectivo,135
55,2026-04-05 09:57:00,2026-04-05 10:16:08,-73.969372,40.732199,-73.997461,40.709586,3,2.69,73.01,app,130
56,2026-04-16 17:22:00,2026-04-16 17:47:36,-74.000255,40.701384,-73.956062,40.75302,3,6.0,105.14,tarjeta,103
57,2026-04-28 14:28:00,2026-04-28 15:15:20,-73.977128,40.634141,-74.006551,40.722405,4,7.05,126.34,app,130
